"articles","sex","married","kidsUnder5","prestige","mentorArticles"
0,"Male","Married",0,2.52,7
0,"Female","Single",0,2.05,6
0,"Female","Single",0,3.75,6
0,"Male","Married",1,1.18,3
0,"Female","Single",0,3.75,26
0,"Female","Married",2,3.59,2
0,"Female","Single",0,3.19,3
0,"Male","Married",2,2.96,4
0,"Male","Single",0,4.62,6
0,"Female","Married",0,1.25,0
0,"Male","Single",0,2.96,14
0,"Female","Single",0,0.75,13
0,"Female","Married",1,3.69,3
0,"Female","Married",0,3.4,4
0,"Female","Married",0,1.79,0
0,"Female","Single",0,3.09,1
0,"Female","Married",0,2,7
0,"Male","Married",2,4.29,13
0,"Female","Single",0,3.36,7
0,"Female","Single",0,4.29,9
0,"Female","Married",0,2.26,6
0,"Male","Married",3,2.96,3
0,"Male","Married",1,4.29,5
0,"Male","Married",1,2.86,4
0,"Male","Married",3,2.76,1
0,"Female","Married",0,1.52,3
0,"Female","Married",1,3.54,8
0,"Male","Married",1,4.29,3
0,"Female","Single",0,3.09,0
0,"Male","Married",0,2.32,3
0,"Female","Single",0,2.39,0
0,"Male","Married",0,4.29,8
0,"Female","Single",0,1.5,13
0,"Male","Single",0,2.1,0
0,"Male","Married",1,1.52,0
0,"Female","Single",0,2,0
0,"Female","Single",0,1.75,0
0,"Male","Single",0,4.29,9
0,"Male","Married",1,1.22,2
0,"Female","Married",0,3.75,5
0,"Male","Single",0,4.29,9
0,"Female","Married",1,2.86,3
0,"Male","Single",0,3.92,5
0,"Female","Married",1,3.36,3
0,"Male","Single",0,2.1,6
0,"Male","Married",1,1.18,0
0,"Male","Married",0,2.5,1
0,"Male","Married",0,3.36,25
0,"Female","Single",0,4.54,14
0,"Female","Married",0,3.92,8
0,"Male","Single",0,4.54,5
0,"Female","Married",2,1.97,0
0,"Male","Married",2,2.96,12
0,"Male","Married",0,4.29,8
0,"Male","Married",1,2.26,2
0,"Female","Single",0,2.12,11
0,"Female","Single",0,3.21,2
0,"Male","Married",1,3.15,1
0,"Male","Married",1,3.92,1
0,"Male","Single",0,2.96,0
0,"Female","Single",0,2.86,6
0,"Male","Married",1,2.1,0
0,"Female","Single",0,3.75,4
0,"Female","Married",0,3.54,2
0,"Female","Married",0,2.54,1
0,"Male","Married",1,2.76,3
0,"Male","Married",0,4.54,10
0,"Male","Married",0,1.68,6
0,"Male","Married",1,2.2,0
0,"Female","Single",0,1,0
0,"Male","Single",0,2.12,2
0,"Female","Married",2,2.58,0
0,"Female","Married",0,1.79,1
0,"Male","Single",0,4.29,2
0,"Female","Married",0,1.28,4
0,"Male","Married",2,2.58,5
0,"Male","Married",2,2.12,0
0,"Male","Married",1,2.21,1
0,"Male","Married",1,2.26,5
0,"Female","Single",0,3.21,5
0,"Female","Single",0,2.1,2
0,"Female","Married",1,3.54,1
0,"Male","Married",1,3.4,18
0,"Male","Married",0,2.21,6
0,"Male","Married",0,2.21,19
0,"Male","Married",2,0.92,1
0,"Female","Single",0,4.29,35
0,"Male","Married",2,3.15,6
0,"Male","Married",0,4.29,19
0,"Male","Married",1,2.51,8
0,"Male","Married",1,4.29,1
0,"Female","Married",0,2.76,0
0,"Male","Married",0,1.42,3
0,"Male","Married",0,2.21,19
0,"Male","Single",0,4.14,5
0,"Male","Married",0,1.52,7
0,"Male","Single",0,4.62,8
0,"Female","Single",0,3.62,7
0,"Female","Married",2,3.75,4
0,"Male","Married",0,4.29,8
0,"Female","Single",0,3.75,5
0,"Male","Married",1,2.1,0
0,"Male","Married",2,1.4,7
0,"Female","Married",0,3.19,4
0,"Male","Married",2,1.81,1
0,"Male","Married",1,3.15,2
0,"Female","Married",0,3.75,7
0,"Female","Single",0,2.05,6
0,"Male","Married",3,2.21,3
0,"Female","Married",2,3.36,2
0,"Female","Married",0,3.47,11
0,"Female","Single",0,2.12,0
0,"Female","Married",1,3.36,2
0,"Male","Married",0,2.54,5
0,"Male","Married",2,2.15,4
0,"Male","Married",1,4.54,3
0,"Male","Married",0,1.68,4
0,"Female","Married",1,2.55,0
0,"Female","Single",0,2.12,11
0,"Male","Married",1,3.47,2
0,"Female","Married",0,3.47,1
0,"Female","Single",0,3.36,9
0,"Male","Married",1,2.12,10
0,"Female","Single",0,2.1,1
0,"Female","Single",0,4.29,1
0,"Male","Married",1,2.86,13
0,"Female","Married",1,4.29,9
0,"Male","Married",0,3.21,2
0,"Male","Single",0,2.1,0
0,"Female","Married",0,1.81,5
0,"Female","Single",0,2.52,2
0,"Male","Married",1,3.36,23
0,"Female","Married",0,4.54,4
0,"Female","Married",1,4.29,4
0,"Female","Single",0,2.12,9
0,"Male","Married",2,4.62,30
0,"Female","Married",1,3.59,14
0,"Female","Single",0,3.59,4
0,"Male","Married",3,2.86,1
0,"Female","Single",0,1.5,3
0,"Female","Married",1,2.5,0
0,"Female","Married",0,4.62,0
0,"Male","Single",0,2.5,0
0,"Female","Married",1,3.36,3
0,"Female","Single",0,2,2
0,"Female","Married",2,3.41,5
0,"Male","Married",0,2.1,0
0,"Female","Single",0,2,2
0,"Male","Married",0,3.36,2
0,"Male","Married",3,3.59,7
0,"Male","Single",0,2.14,2
0,"Female","Married",0,3.59,12
0,"Female","Single",0,2.39,10
0,"Male","Married",3,4.54,11
0,"Male","Single",0,2.96,2
0,"Male","Married",1,2.21,5
0,"Male","Married",2,3.69,5
0,"Female","Married",0,1.78,1
0,"Female","Single",0,2.86,11
0,"Male","Married",0,2.86,8
0,"Female","Married",0,2.58,3
0,"Female","Single",0,3.75,1
0,"Female","Married",1,1.22,11
0,"Female","Single",0,2.1,9
0,"Female","Single",0,3.59,18
0,"Female","Single",0,3.54,5
0,"Female","Single",0,2.86,16
0,"Female","Married",0,1.86,6
0,"Male","Married",0,2.96,0
0,"Female","Married",0,3.69,7
0,"Female","Married",0,3.69,2
0,"Female","Married",0,4.29,1
0,"Female","Single",0,2.52,1
0,"Female","Single",0,1.76,10
0,"Male","Married",2,2.32,2
0,"Female","Single",0,3.69,2
0,"Female","Single",0,3.75,14
0,"Female","Single",0,4.29,5
0,"Female","Married",2,4.54,6
0,"Male","Married",1,2.1,0
0,"Female","Married",1,2.54,0
0,"Male","Married",1,2.21,19
0,"Male","Single",0,4.54,8
0,"Male","Married",1,2.1,12
0,"Male","Single",0,2.26,5
0,"Female","Married",1,4.62,15
0,"Female","Single",0,2.76,4
0,"Female","Single",0,4.29,12
0,"Female","Single",0,0.75,0
0,"Female","Married",0,1.83,2
0,"Female","Single",0,1.79,0
0,"Female","Married",1,4.29,6
0,"Female","Single",0,2.5,0
0,"Male","Married",0,2.14,1
0,"Male","Married",2,3.4,13
0,"Female","Single",0,2.87,15
0,"Female","Married",0,2.96,0
0,"Female","Married",2,3.19,0
0,"Male","Married",1,3.69,16
0,"Female","Married",2,1.25,0
0,"Male","Married",2,4.14,12
0,"Male","Married",1,2.39,5
0,"Male","Married",2,3.92,2
0,"Female","Single",0,2.96,4
0,"Female","Married",0,2.12,2
0,"Female","Married",2,2.12,1
0,"Female","Married",0,2.61,3
0,"Male","Single",0,4.29,0
0,"Male","Married",3,2.86,7
0,"Female","Married",0,2.39,0
0,"Male","Married",2,3.34,1
0,"Female","Single",0,3.62,8
0,"Female","Married",1,3.59,8
0,"Male","Married",2,4.54,1
0,"Female","Married",0,3.59,1
0,"Male","Single",0,4.29,9
0,"Male","Married",0,1.52,4
0,"Male","Married",0,4.29,6
0,"Female","Married",0,4.62,5
0,"Male","Married",1,4.29,13
0,"Male","Married",0,2.51,3
0,"Male","Single",0,2.86,3
0,"Female","Married",0,2.96,8
0,"Female","Married",0,3.69,3
0,"Female","Married",0,3.47,2
0,"Male","Married",2,4.29,15
0,"Male","Single",0,4.29,0
0,"Female","Single",0,3.92,1
0,"Female","Married",0,2,6
0,"Male","Married",0,2.32,4
0,"Female","Married",1,2,9
0,"Male","Married",1,1.68,27
0,"Male","Single",0,3.47,0
0,"Male","Married",0,2.2,2
0,"Male","Married",1,2.12,10
0,"Female","Single",0,1.4,14
0,"Female","Single",0,3.36,3
0,"Male","Married",2,4.29,24
0,"Male","Married",1,2.1,0
0,"Male","Single",0,4.29,5
0,"Female","Single",0,4.29,0
0,"Female","Single",0,2.83,1
0,"Male","Married",1,2.58,6
0,"Female","Married",0,3.15,7
0,"Male","Single",0,4.29,2
0,"Male","Single",0,2.96,0
0,"Male","Married",2,3.59,5
0,"Female","Single",0,2.39,15
0,"Female","Single",0,1.25,2
0,"Female","Single",0,2.76,1
0,"Male","Married",0,3.4,13
0,"Male","Single",0,4.29,7
0,"Female","Single",0,3.69,4
0,"Female","Married",0,2.86,13
0,"Female","Single",0,4.29,3
0,"Female","Single",0,4.14,2
0,"Female","Married",0,2.39,2
0,"Male","Married",2,2.86,11
0,"Female","Married",0,2.96,7
0,"Male","Single",0,3.59,8
0,"Male","Married",1,1.81,5
0,"Male","Married",1,4.29,2
0,"Male","Married",1,2.1,0
0,"Female","Single",0,3.19,0
0,"Male","Married",2,4.29,2
0,"Male","Married",0,4.29,2
0,"Male","Married",2,3.4,0
0,"Male","Single",0,4.29,35
0,"Male","Married",2,2.32,5
0,"Male","Single",0,1.68,5
0,"Female","Married",0,2.58,0
0,"Male","Married",0,3.69,3
0,"Male","Married",2,3.41,7
0,"Male","Married",0,2.32,0
0,"Male","Married",1,3.69,8
1,"Male","Married",0,2.54,4
1,"Female","Married",1,1.76,4
1,"Male","Married",1,4.29,13
1,"Male","Married",3,2.1,0
1,"Female","Married",1,3.09,12
1,"Female","Single",0,3.36,6
1,"Male","Married",0,2.1,0
1,"Female","Married",1,3.75,7
1,"Female","Single",0,2.14,6
1,"Female","Single",0,4.29,22
1,"Female","Single",0,2,2
1,"Male","Married",0,2,4
1,"Male","Married",1,2,16
1,"Male","Married",1,2.61,6
1,"Male","Married",0,4.25,12
1,"Male","Single",0,2.36,14
1,"Female","Married",0,4.29,11
1,"Male","Married",0,2.1,2
1,"Female","Married",0,2.87,5
1,"Female","Married",0,3.47,3
1,"Male","Married",0,1.78,1
1,"Male","Married",0,4.14,15
1,"Male","Married",3,4.29,0
1,"Male","Single",0,4.29,3
1,"Male","Single",0,1.81,10
1,"Female","Single",0,2.32,15
1,"Female","Married",0,2.61,7
1,"Male","Married",0,1.68,34
1,"Female","Married",0,3.19,3
1,"Male","Married",1,3.59,5
1,"Male","Married",0,2.5,0
1,"Male","Single",0,3.4,6
1,"Female","Single",0,2.26,4
1,"Male","Single",0,3.4,12
1,"Male","Married",1,3.92,0
1,"Male","Married",2,2.96,0
1,"Male","Single",0,4.29,15
1,"Male","Married",0,4.29,11
1,"Female","Married",1,3.32,24
1,"Male","Single",0,1.86,15
1,"Female","Single",0,2.87,6
1,"Female","Married",0,1.64,22
1,"Female","Single",0,2.25,7
1,"Female","Single",0,2.1,8
1,"Female","Married",0,4.29,6
1,"Male","Married",0,1.75,3
1,"Male","Married",0,2.96,8
1,"Female","Single",0,2.25,4
1,"Male","Married",2,4.25,20
1,"Male","Married",2,2.56,22
1,"Female","Single",0,3.19,11
1,"Male","Married",2,3.92,2
1,"Male","Married",1,1.78,77
1,"Female","Married",0,3.4,14
1,"Male","Married",1,1.74,4
1,"Male","Single",0,4.29,6
1,"Female","Single",0,2,6
1,"Female","Married",0,2.87,18
1,"Male","Married",0,4.29,6
1,"Female","Married",0,3.19,2
1,"Male","Married",1,1.22,1
1,"Female","Married",2,3.54,17
1,"Male","Married",1,4.29,1
1,"Male","Married",1,4.62,3
1,"Female","Single",0,2,6
1,"Female","Single",0,3.59,3
1,"Female","Single",0,3.19,6
1,"Male","Married",1,3.4,2
1,"Female","Married",0,1.28,2
1,"Male","Married",2,1.74,4
1,"Male","Married",1,2.26,1
1,"Female","Married",0,3.59,5
1,"Male","Married",1,4.62,16
1,"Female","Single",0,1.4,2
1,"Female","Single",0,0.92,4
1,"Male","Married",1,2.39,3
1,"Male","Married",0,2.26,1
1,"Male","Married",2,2.86,7
1,"Male","Married",2,2.76,8
1,"Male","Married",1,1.63,8
1,"Male","Married",2,4.29,12
1,"Female","Single",0,1.4,3
1,"Female","Married",0,2.12,0
1,"Female","Married",1,2.61,6
1,"Male","Married",0,1.8,1
1,"Female","Married",0,4.29,21
1,"Female","Single",0,3.69,18
1,"Female","Married",0,4.62,16
1,"Male","Single",0,2.15,10
1,"Male","Married",2,2.1,0
1,"Female","Married",0,2,5
1,"Female","Single",0,1.25,0
1,"Male","Married",2,1.75,2
1,"Female","Single",0,3.85,2
1,"Male","Single",0,4.25,4
1,"Female","Single",0,3.47,3
1,"Male","Married",1,3.92,8
1,"Male","Married",2,2.51,3
1,"Female","Single",0,1.4,12
1,"Male","Married",1,2,11
1,"Female","Single",0,2,10
1,"Male","Single",0,4.29,2
1,"Male","Single",0,3.36,10
1,"Male","Married",0,4.62,1
1,"Male","Married",1,2.56,16
1,"Male","Married",0,4.62,18
1,"Male","Married",0,3.59,10
1,"Male","Married",2,4.29,6
1,"Female","Single",0,3.59,8
1,"Female","Single",0,4.29,6
1,"Male","Married",0,3.19,3
1,"Female","Married",0,3.59,1
1,"Female","Married",0,2.96,19
1,"Female","Single",0,2.58,2
1,"Male","Married",3,2.96,6
1,"Female","Married",0,4.54,13
1,"Male","Married",1,4.54,10
1,"Male","Married",2,2.5,4
1,"Male","Married",0,1.68,8
1,"Male","Married",0,2.32,4
1,"Female","Married",3,3.19,9
1,"Female","Single",0,2.21,2
1,"Female","Married",0,1.25,5
1,"Male","Single",0,4.14,5
1,"Female","Married",0,4.62,4
1,"Female","Single",0,4.54,37
1,"Female","Married",0,3.15,9
1,"Male","Single",0,4.29,11
1,"Female","Married",0,1.95,3
1,"Male","Single",0,2,9
1,"Female","Married",0,4.54,2
1,"Female","Married",2,2.58,2
1,"Female","Married",0,3.85,29
1,"Male","Married",1,3.41,10
1,"Female","Married",1,2.26,9
1,"Female","Single",0,4.25,2
1,"Male","Married",1,3.59,6
1,"Female","Married",1,2.12,9
1,"Male","Married",0,2.96,7
1,"Female","Single",0,2.52,0
1,"Female","Single",0,2.26,4
1,"Female","Single",0,4.54,9
1,"Female","Married",2,2.86,7
1,"Male","Married",0,4.54,2
1,"Male","Married",0,3.59,12
1,"Female","Married",0,4.62,18
1,"Male","Married",3,1.67,3
1,"Male","Married",2,1.75,1
1,"Female","Married",1,2.83,5
1,"Male","Married",3,3.15,11
1,"Male","Married",1,3.59,9
1,"Female","Single",0,3.75,24
1,"Female","Single",0,2.05,17
1,"Male","Married",0,4.29,0
1,"Male","Married",2,4.29,0
1,"Female","Married",0,2.39,7
1,"Male","Married",1,4.54,3
1,"Male","Married",0,2.32,4
1,"Female","Single",0,4.29,25
1,"Male","Married",1,3.69,5
1,"Male","Single",0,4.29,9
1,"Male","Single",0,3.92,2
1,"Male","Married",0,2.76,5
1,"Male","Single",0,2.76,6
1,"Male","Married",2,3.62,4
1,"Male","Married",1,4.29,14
1,"Male","Single",0,2.87,12
1,"Female","Married",1,2.39,9
1,"Male","Single",0,4.29,14
1,"Male","Married",0,1.78,4
1,"Male","Married",1,2.1,8
1,"Female","Married",0,2.25,3
1,"Male","Married",1,2.26,5
1,"Male","Married",0,1.86,5
1,"Female","Single",0,3.92,4
1,"Male","Married",0,4.34,10
1,"Female","Single",0,3.36,4
1,"Female","Single",0,2.51,1
1,"Female","Single",0,3.75,21
1,"Male","Married",1,4.54,45
1,"Female","Single",0,1.63,8
1,"Female","Single",0,4.62,10
1,"Male","Married",0,1.52,2
